Title,Authors,Venue,Year,URL
"Proceedings of the Workshop on Data Mining for Online Advertising (AdKDD 2023) co-located with the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD 2023), Long Beach, CA, USA, August 7, 2023.","Abraham Bagherjeiran, Nemanja Djuric, Kuang-chih Lee, Linsey Pang, Vladan Radosavljevic, Suju Rajan","['AdKDD@KDD', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3556
"Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2023, Long Beach, CA, USA, August 6-10, 2023","Ambuj K. Singh, Yizhou Sun, Leman Akoglu, Dimitrios Gunopulos, Xifeng Yan, Ravi Kumar 0001, Fatma Ozcan, Jieping Ye",KDD,2023,https://doi.org/10.1145/3580305
"Proceedings of EvalRS: A Rounded Evaluation Of Recommender Systems 2023 co-located with 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (SIGKDD 2023), Long Beach,CA, USA, August 7, 2023.","Federico Bianchi 0001, Patrick John Chia, Ciro Greco, Claudio Pomo, Gabriel de Souza P. Moreira, Davide Eynard, Fahd Husain, Jacopo Tagliabue","['EvalRS@KDD', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3450
"The KDD&apos;23 Workshop on Causal Discovery, Prediction and Decision (CDPD 2023).",Thuc Duy Le,KDD,2023,https://doi.org/10.1145/3580305.3599204
KDD-2023 Workshop on Decision Intelligence and Analytics for Online Marketplaces.,"Zhiwei (Tony) Qin, Rui Song 0006, Jieping Ye, Hongtu Zhu, Michael I. Jordan",KDD,2023,https://doi.org/10.1145/3580305.3599202
KDD 2023 Workshop on Data Science and AI for Sports.,"Huan Song, Panpan Xu, Lin Lee Cheong, Yuanheng Wang",KDD,2023,https://doi.org/10.1145/3580305.3599213
KDD 2023 International Workshop on Data Science for Social Good (DSSG-23).,"Amulya Yadav, Aparna Taneja, Ayan Mukhopadhyay, Serina Chang",KDD,2023,https://doi.org/10.1145/3580305.3599210
"Analysis of Data Mining Techniques on KDD-Cup&apos;99, NSL-KDD and UNSW-NB15 Datasets for Intrusion Detection.","Aseel Shehadeh, Hanan ALTaweel, Abdallah Qusef",ACIT,2023,https://doi.org/10.1109/ACIT58888.2023.10453884
22nd International Workshop on Data Mining in Bioinformatics (BIOKDD 2023).,"Da Yan 0001, Ariful Azad, Jie Hou 0001, Jake Y. Chen, Mohammed J. Zaki",KDD,2023,https://doi.org/10.1145/3580305.3599205
EvalRS 2023: Well-Rounded Recommender Systems for Real-World Deployments.,"Federico Bianchi 0001, Patrick John Chia, Jacopo Tagliabue, Ciro Greco, Gabriel de Souza P. Moreira, Davide Eynard, Fahd Husain, Claudio Pomo",KDD,2023,https://doi.org/10.1145/3580305.3599222
