Title,Authors,Venue,Year,URL
"Proceedings of the KDD Workshop on Human-Interpretable AI 2024 co-located with 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD 2024), Centre de Convencions Internacional de Barcelona, Spain, August 26, 2024.","Gabriele Ciravegna, Mateo Espinosa Zarlenga, Pietro Barbiero, Zohreh Shams, Francesco Giannini, Damien Garreau, Mateja Jamnik, Tania Cerquitelli","['HI-AI@KDD', 'CEUR Workshop Proceedings']",2024,https://ceur-ws.org/Vol-3841
"Proceedings of the Workshop on Data Mining for Online Advertising (AdKDD 2024) co-located with the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD 2024), Barcelona, Spain, August 25, 2024.","Abraham Bagherjeiran, Nemanja Djuric, Kuang-chih Lee, Linsey Pang, Vladan Radosavljevic, Suju Rajan","['AdKDD@KDD', 'CEUR Workshop Proceedings']",2024,https://ceur-ws.org/Vol-3837
"Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2024, Barcelona, Spain, August 25-29, 2024","Ricardo Baeza-Yates, Francesco Bonchi",KDD,2024,https://doi.org/10.1145/3637528
"Equity, Diversity &amp; Inclusion (EDI): Special Day at ACM KDD 2024.","Tania Cerquitelli, Amin Mantrach",KDD,2024,https://doi.org/10.1145/3637528.3673870
KDD 2024 Special Day - AI for Environment.,"Karina Gibert, Wee Hyong Tok, Miquel Sànchez-Marrè",KDD,2024,https://doi.org/10.1145/3637528.3673869
European Data Science Day: KDD-2024 Special Day.,"Dunja Mladenic, Dumitru Roman",KDD,2024,https://doi.org/10.1145/3637528.3673868
KDD 2024 Finance Day.,"Guiling Wang 0001, Daniel Borrajo",KDD,2024,https://doi.org/10.1145/3637528.3673865
"Proceedings of the Workshop on Knowledge-infused Learning co-located with 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD), Barcelona, Spain, August 26, 2024.","Manas Gaur, Efthymia Tsamoura, Edward Raff, Nikhita Vedula, Srinivasan Parthasarathy 0001","['KiL@KDD', 'CEUR Workshop Proceedings']",2025,https://ceur-ws.org/Vol-3894
23rd International Workshop on Data Mining in Bioinformatics (BIOKDD 2024).,"Da Yan 0001, Ahmed Abdeen Hamed, Jake Y. Chen, Mohammed J. Zaki",KDD,2024,https://doi.org/10.1145/3637528.3671485
"The 4th KDD Workshop on Deep Learning for Spatiotemporal Data, Applications, and Systems (DeepSpatial&apos;24).","Zhe Jiang 0001, Liang Zhao 0002, Xun Zhou, Junbo Zhang, Shashi Shekhar 0001, Jieping Ye",KDD,2024,https://doi.org/10.1145/3637528.3671501
AdKDD 2024.,"Abraham Bagherjeiran, Nemanja Djuric, Kuang-Chih Lee, Linsey Pang, Vladan Radosavljevic, Suju Rajan",KDD,2024,https://doi.org/10.1145/3637528.3671476
Overview of ACM SIGKDD 2024 AI4Science4AI Special Day.,"Wei Ding 0003, Gustau Camps-Valls",KDD,2024,https://doi.org/10.1145/3637528.3673871
"KiL 2024: 4th International Workshop on Knowledge-infused Learning (Towards Consistent, Reliable, Explainable, and Safe LLMs).","Manas Gaur, Efthymia Tsamoura, Edward Raff, Nikhita Vedula, Srinivasan Parthasarathy 0001",KDD,2024,https://doi.org/10.1145/3637528.3671495
