Title,Authors,Venue,Year,URL
"Proceedings of IJCAI-2023 Workshop&amp;Challenge on Micro-gesture Analysis for Hidden Emotion Understanding (MiGA 2023) co-located with 32nd International Joint Conference on Artificial Intelligence (IJCAI 2023), Macau, China, August 21-22, 2023.","Guoying Zhao 0001, Björn W. Schuller, Ehsan Adeli 0001, Tingshao Zhu, Haoyu Chen 0001","['MiGA@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3522
"Proceedings of the Workshop on Ethics and Trust in Human-AI Collaboration: Socio-Technical Approaches (ETHAICS 2023) co-located with 32nd International Joint Conference on Artificial Intelligence (IJCAI 2023) Macao, August 21, 2023., Macao, August 21, 2023.","Marianna Bergamaschi Ganapini, Andrea Loreggia, Nicholas Mattei, Francesca Rossi 0001, Biplav Srivastava, Kristen Brent Venable","['ETHAICS@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3547
"Proceedings of the 3rd Workshop on Adverse Impacts and Collateral Effects of Artificial Intelligence Technologies (AiOfAi 2023) co-located with 32nd International Conference on Artificial Intelligence (IJCAI 2023), Macao, China, August 21, 2023.","Esma Aïmeur, Nicolás E. Díaz Ferreyra","['AiOfAi@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3593
"Proceedings of the IJCAI-23 Joint Workshop on Artificial Intelligence Safety and Safe Reinforcement Learning (AISafety-SafeRL 2023) co-located with the 32nd International Joint Conference on Artificial Intelligence(IJCAI2023), Macau, China, August 21-22, 2023.","Gabriel Pedroza, Xiaowei Huang 0001, Xin Cynthia Chen, Andreas Theodorou, Huáscar Espinoza, Nikolaos Matragkas, José Hernández-Orallo, Mauricio Castillo-Effen, Richard Mallah, John A. McDermid, David M. Bossens, Bettina Könighofer, Sebastian Tschiatschek, Anqi Liu","['AISafety/SafeRL@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3505
"Proceedings of the Thirty-Second International Joint Conference on Artificial Intelligence, IJCAI 2023, 19th-25th August 2023, Macao, SAR, China",,IJCAI,2023,https://www.ijcai.org/proceedings/2023/
"Proceedings of the 2nd International Workshop on Spatio-Temporal Reasoning and Learning (STRL 2023) co-located with the 32nd International Joint Conference on Artificial Intelligence (IJCAI 2023), Macao, S.A.R., August 21, 2023.","Michael Sioutis, Zhiguo Long, Jae Hee Lee 0001, Mehul Bhatt","['STRL@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3475
"Proceedings of the 2nd International Workshop on Process Management in the AI Era (PMAI 2023) co-located with 31st International Joint Conference on Artificial Intelligence (IJCAI 2023), Macao, S.A.R, August 19, 2023.","Fabiana Fournier, Lior Limonad, Massimiliano de Leoni, Antonella Guzzo, Andrea Marrella, Pnina Soffer","['PMAI@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3569
"The First Workshop on AI for Digital Twins and Cyber-Physical Applications in conjunction with 32nd International Joint Conference on Artificial Intelligence (AI4DT&amp;CP@IJCAI 2023), Macao S.A.R, August 19th 2023.","Gianfranco Lombardo, Marco Picone, Diego Reforgiato Recupero, Giuseppe Vizzari","['AI4DT&amp;CP@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3541
"Proceedings of the Workshop on Deepfake Audio Detection and Analysis co-located with 32th International Joint Conference on Artificial Intelligence (IJCAI 2023), Macao, China, August 19, 2023.","Jianhua Tao 0001, Haizhou Li 0001, Jiangyan Yi, Cunhang Fan","['DADA@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3597
"Proceedings of the 11th International Workshop &quot;What can FCA do for Artificial Intelligence?&quot; co-located with the 32nd International Joint Conference on Artificial Intelligence (IJCAI 2023), Macao, S.A.R. China; August 20, 2023.","Sergei O. Kuznetsov, Amedeo Napoli, Sebastian Rudolph","['FCA4AI@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3489
"Proceedings of the Workshop on the Interactions between Analogical Reasoning and Machine Learning co-located with International Joint Conference on Artificial Intelligence (IJCAI 2023), Macau, China, August 21, 2023.","Miguel Couceiro, Stergos D. Afantenos, Pierre-Alexandre Murena","['IARML@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3492
"Proceedings of the 6th International Workshop on Knowledge Discovery from Healthcare Data co-located with 32nd International Joint Conference on Artificial Intelligence (IJCAI 2023), Macao, China, August 20, 2023.","Zina M. Ibrahim, Honghan Wu, Nirmalie Wiratunga","['KDH@IJCAI', 'CEUR Workshop Proceedings']",2023,https://ceur-ws.org/Vol-3479
