Title,Authors,Venue,Year,URL
"Proceedings of the 2020 KDD Workshop on Causal Discovery (CD@KDD 2020), San Diego, CA, USA, 24 August 2020.","Thuc Duy Le, Lin Liu 0003, Kun Zhang 0001, Emre Kiciman, Peng Cui 0001, Aapo Hyvärinen","['CD@KDD', 'Proceedings of Machine Learning Research']",2020,http://proceedings.mlr.press/v127/
"Proceedings of the Natural Legal Language Processing Workshop 2020 co-located with the 26th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining (KDD 2020), Virtual Workshop, August 24, 2020.","Nikolaos Aletras, Ion Androutsopoulos, Leslie Barrett, Adam Meyers, Daniel Preotiuc-Pietro","['NLLP@KDD', 'CEUR Workshop Proceedings']",2020,https://ceur-ws.org/Vol-2645
"Proceedings of the KDD 2020 Workshop on Conversational Systems Towards Mainstream Adoption co-located with the 26TH ACM SIGKDD Conference on Knowledge Discovery and Data Mining (SIGKDD 2020), Virtual Workshop, August 24, 2020.","Giuseppe Di Fabbrizio, Surya Kallumadi, Utkarsh Porwal, Thrivikrama Taula","['Converse@SIGKDD', 'CEUR Workshop Proceedings']",2020,https://ceur-ws.org/Vol-2666
"1st Workshop on Data Science with Human in the Loop, DaSH@KDD 2020, San Diego, California, USA, August 24, 2020.","Eduard C. Dragut, Yunyao Li 0001, Lucian Popa 0001, Slobodan Vucetic",DaSH@KDD,2020,https://sites.google.com/view/dash2020/home
"KDD &apos;20: The 26th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, Virtual Event, CA, USA, August 23-27, 2020","Rajesh Gupta 0001, Yan Liu 0002, Jiliang Tang, B. Aditya Prakash",KDD,2020,https://doi.org/10.1145/3394486
"Proceedings of the ACM SIGKDD Workshop on Knowledge-infused Mining and Learning for Social Impact co-located with 26th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (Virtual) (SIGKDD 2020), San Diego, California, USA, August 24, 2020.","Manas Gaur, Alejandro Jaimes, Fatma Ozcan, Srinivasan Parthasarathy 0001, Sameena Shah, Amit P. Sheth, Biplav Srivastava","['KiML@KDD', 'CEUR Workshop Proceedings']",2020,https://ceur-ws.org/Vol-2657
KDD 2020 Highlights.,"Rajesh Gupta 0001, Yan Liu 0002",SIGKDD Explor.,2020,https://doi.org/10.1145/3447556.3447558
Training Guidance with KDD Cup 1999 and NSL-KDD Data Sets of ANIDINR: Anomaly-Based Network Intrusion Detection System.,"Benedetto Marco Serinelli, Anastasija Collen, Niels Alexander Nijdam",FNC/MobiSPC,2020,https://doi.org/10.1016/j.procs.2020.07.080
Dual Channel Hypergraph Collaborative Filtering.,"Shuyi Ji, Yifan Feng, Rongrong Ji, Xibin Zhao, Wanwan Tang, Yue Gao 0002",KDD,2020,https://doi.org/10.1145/3394486.3403253
Preface: The 2020 ACM SIGKDD Workshop on Causal Discovery.,"Thuc Duy Le, Lin Liu 0003, Kun Zhang 0001, Emre Kiciman, Peng Cui 0001, Aapo Hyvärinen",CD@KDD,2020,http://proceedings.mlr.press/v127/le20a.html
"Proceedings of the 8th International Workshop on Big Data, IoT Streams and Heterogeneous Source Mining: Algorithms, Systems, Programming Models and Applications co-located with 25th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD 2019), Anchorage, Alaska, August 4-8, 2019.","Albert Bifet, Michele Berlingerio, João Gama 0001, Jesse Read, Ana Rita Nogueira","['BigMine@KDD', 'CEUR Workshop Proceedings']",2020,https://ceur-ws.org/Vol-2579
Bridging the Gap of AutoGraph Between Academia and Industry: Analyzing AutoGraph Challenge at KDD Cup 2020.,"Zhen Xu 0007, Lanning Wei, Huan Zhao 0002, Rex Ying, Quanming Yao, Wei-Wei Tu, Isabelle Guyon",Frontiers Artif. Intell.,2022,https://doi.org/10.3389/frai.2022.905104
AutoHEnsGNN: Winning Solution to AutoGraph Challenge for KDD Cup 2020.,"Jin Xu 0010, Mingjian Chen, Jianqiang Huang, Xingyuan Tang, Ke Hu, Jian Li 0015, Jia Cheng, Jun Lei",ICDE,2022,https://doi.org/10.1109/ICDE53745.2022.00031
Beyond Point Prediction: Capturing Zero-Inflated &amp; Heavy-Tailed Spatiotemporal Data with Deep Extreme Mixture Models.,"Tyler Wilson, Andrew McDonald 0003, Asadullah Hill Galib, Pang-Ning Tan, Lifeng Luo",KDD,2022,https://doi.org/10.1145/3534678.3539464
Bridging the Gap of AutoGraph between Academia and Industry: Analysing AutoGraph Challenge at KDD Cup 2020.,"Zhen Xu 0007, Lanning Wei, Huan Zhao 0002, Rex Ying, Quanming Yao, Wei-Wei Tu, Isabelle Guyon",CoRR,2022,https://doi.org/10.48550/arXiv.2204.02625
Memory Efficient Adversarial Attacks on Graphs: A Winning Solution for KDD Cup 2020.,"Keiichi Ochiai, Takuya Chida, Keita Yokoyama, Daisuke Koizumi, Hiroaki Tanaka, Akihiro Kawana",ICMU,2021,https://doi.org/10.23919/ICMU50196.2021.9638939
Proceedings of KDD 2020 Workshop on Data-driven Humanitarian Mapping: Harnessing Human-Machine Intelligence for High-Stake Public Policy and Resilience Planning.,"Snehalkumar (Neil) S. Gaikwad, Shankar Iyer, Dalton D. Lunga, Yu-Ru Lin",CoRR,2021,https://arxiv.org/abs/2109.00435
AutoHEnsGNN: Winning Solution to AutoGraph Challenge for KDD Cup 2020.,"Jin Xu 0010, Mingjian Chen, Jianqiang Huang, Xingyuan Tang, Ke Hu, Jian Li 0015, Jia Cheng, Jun Lei",CoRR,2021,https://arxiv.org/abs/2111.12952
BAT: Deep Learning Methods on Network Intrusion Detection Using NSL-KDD Dataset.,"Tongtong Su, Huazhi Sun, Jinqi Zhu, Sheng Wang, Yabo Li",IEEE Access,2020,https://doi.org/10.1109/ACCESS.2020.2972627
The KDD Cup 2019 Report.,"Wenjun Zhou 0001, Taposh Dutta Roy, Iryna Skrypnyk",SIGKDD Explor.,2020,https://doi.org/10.1145/3400051.3400056
An Analysis of the KDD99 and UNSW-NB15 Datasets for the Intrusion Detection System.,"Muataz Salam Al Daweri, Khairul Akram Zainol Ariffin, Salwani Abdullah, Mohamad Firham Efendy Md. Senan",Symmetry,2020,https://doi.org/10.3390/sym12101666
Introduction to the Special Issue on the Best Papers from KDD 2018.,"Hui Xiong, Chih-Jen Lin",ACM Trans. Knowl. Discov. Data,2020,https://doi.org/10.1145/3407901
Attackers are not Stealthy: Statistical Analysis of the Well-Known and Infamous KDD Network Security Dataset.,"João Vitor Valle Silva, Martin Andreoni Lopez, Diogo M. F. Mattos",CIoT,2020,https://doi.org/10.1109/CIoT50422.2020.9244289
Application of Classification Algorithms in the Generation of a Network Intrusion Detection Model Using the KDDCUP99 Database.,"Jairo Hidalgo-Guijarro, Marco Yandún",IHSI,2020,https://doi.org/10.1007/978-3-030-39512-4_70
Network Intrusion Detection System Using Neural Network and Condensed Nearest Neighbors with Selection of NSL-KDD Influencing Features.,"Fatima Zohra Belgrana, Nacéra Benamrane, Mohamed Amine Hamaida, Abdellah Mohamed Chaabani, Abdelmalik Taleb-Ahmed",IoTaIS,2020,https://doi.org/10.1109/IoTaIS50849.2021.9359689
MTA-KDD&apos;19: A Dataset for Malware Traffic Detection.,"Ivan Letteri, Giuseppe Della Penna, Luca Di Vita, Maria Teresa Grifa",ITASEC,2020,https://ceur-ws.org/Vol-2597/paper-14.pdf
Comparative Study of Classification Algorithms for Cloud IDS using NSL-KDD Dataset in WEKA.,"Saida Farhat, Manel Abdelkader, Amel Meddeb-Makhlouf, Faouzi Zarai",IWCMC,2020,https://doi.org/10.1109/IWCMC48107.2020.9148311
"Deep Learning for Industrial AI: Challenges, New Methods and Best Practices.","Chetan Gupta 0001, Ahmed K. Farahat",KDD,2020,https://doi.org/10.1145/3394486.3406482
Context-Aware Attentive Knowledge Tracing.,"Aritra Ghosh 0001, Neil T. Heffernan, Andrew S. Lan",KDD,2020,https://doi.org/10.1145/3394486.3403282
Textual Evidence for the Perfunctoriness of Independent Medical Reviews.,"Adrian Brasoveanu 0001, Megan Moodie, Rakshit Agrawal",KiML@KDD,2020,https://ceur-ws.org/Vol-2657/paper1.pdf
Scientific Text Mining and Knowledge Graphs.,"Meng Jiang 0001, Jingbo Shang",KDD,2020,https://doi.org/10.1145/3394486.3406465
TIMME: Twitter Ideology-detection via Multi-task Multi-relational Embedding.,"Zhiping Xiao 0001, Weiping Song, Haoyan Xu, Zhicheng Ren, Yizhou Sun",KDD,2020,https://doi.org/10.1145/3394486.3403275
Average Sensitivity of Spectral Clustering.,"Pan Peng 0001, Yuichi Yoshida",KDD,2020,https://doi.org/10.1145/3394486.3403166
Forecasting the Evolution of Hydropower Generation.,"Fan Zhou 0002, Liang Li, Kunpeng Zhang 0001, Goce Trajcevski, Fuming Yao, Ying Huang, Ting Zhong, Jiahao Wang, Qiao Liu 0003",KDD,2020,https://doi.org/10.1145/3394486.3403337
Cracking Tabular Presentation Diversity for Automatic Cross-Checking over Numerical Facts.,"Hongwei Li 0002, Qingping Yang, Yixuan Cao 0001, Jiaquan Yao, Ping Luo 0001",KDD,2020,https://doi.org/10.1145/3394486.3403310
Evaluating Conversational Recommender Systems via User Simulation.,"Shuo Zhang 0006, Krisztian Balog",KDD,2020,https://doi.org/10.1145/3394486.3403202
AM-GCN: Adaptive Multi-channel Graph Convolutional Networks.,"Xiao Wang 0017, Meiqi Zhu, Deyu Bo, Peng Cui 0001, Chuan Shi 0001, Jian Pei",KDD,2020,https://doi.org/10.1145/3394486.3403177
Fitbit for Chickens?: Time Series Data Mining Can Increase the Productivity of Poultry Farms.,"Alireza Abdoli, Sara Alaee, Shima Imani, Amy C. Murillo, Alec C. Gerry, Leslie Hickle, Eamonn J. Keogh",KDD,2020,https://doi.org/10.1145/3394486.3403385
