Index,University,Artificial Intelligence & Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
72,University of Warsaw,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
73,Virginia Tech,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
74,Mälardalen University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
75,Massachusetts Institute of Technology,0,0,5.817708333333333,0,0,0,0,0,0,0,0,0,0,North America
76,Bielefeld University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
77,Harvard University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
78,University of Duisburg-Essen,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
79,University of Pisa,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
80,Stony Brook University,0,0,1.0,0,0,0,0,0,0,0,0,0,0,North America
81,University of Salerno,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
82,Heidelberg University,0,0,1.8333333333333333,0,0,0,0,0,0,0,0,0,0,europe
83,Politecnico di Milano,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
84,LMU Munich,0,0,1.0,0,0,0,0,0,0,0,0,0,0,europe
85,Universidad de Chile,0,0,0.0,0,0,0,0,0,0,0,0,0,0,southamerica
86,JKU Linz,0,0,1.54,0,0,0,0,0,0,0,0,0,0,europe
87,University of Edinburgh,0,0,1.915742630385488,0,0,0,0,0,0,0,0,0,0,europe
88,DTU,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
89,Koç University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
90,University of Washington,0,0,5.6025,0,0,0,0,0,0,0,0,0,0,North America
91,Durham University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
92,University of British Columbia,0,0,1.1111111111111112,0,0,0,0,0,0,0,0,0,0,North America
93,University of North Texas,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
94,University of Copenhagen,0,0,0.23625,0,0,0,0,0,0,0,0,0,0,europe
95,Queen's University Belfast,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
96,University of Technology Sydney,0,0,0.08,0,0,0,0,0,0,0,0,0,0,australasia
97,Lancaster University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
98,University at Buffalo,0,0,1.125,0,0,0,0,0,0,0,0,0,0,North America
99,University College Dublin,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
100,KU Leuven,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
101,University of Antwerp,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
102,Radboud University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
103,TU Eindhoven,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
104,Clemson University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
105,Cornell University,0,0,4.284722222222222,0,0,0,0,0,0,0,0,0,0,North America
106,King's College London,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
107,Ecole Normale Superieure,0,0,0.6180555555555556,0,0,0,0,0,0,0,0,0,0,europe
108,University of Oxford,0,0,0.5625,0,0,0,0,0,0,0,0,0,0,europe
109,University of Wisconsin - Madison,0,0,3.8402777777777777,0,0,0,0,0,0,0,0,0,0,North America
110,Rochester Institute of Technology,0,0,0.5,0,0,0,0,0,0,0,0,0,0,North America
111,Johns Hopkins University,0,0,1.3122222222222222,0,0,0,0,0,0,0,0,0,0,North America
112,NJIT,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
113,IIT Bhilai,0,0,0.0,0,0,0,0,0,0,0,0,0,0,asia
114,University of Michigan,0,0,2.33,0,0,0,0,0,0,0,0,0,0,North America
115,Aarhus University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
116,BITS Pilani-Goa,0,0,0.0,0,0,0,0,0,0,0,0,0,0,asia
117,University of Jordan,0,0,0.0,0,0,0,0,0,0,0,0,0,0,asia
118,KAUST,0,0,2.9394444444444447,0,0,0,0,0,0,0,0,0,0,asia
119,Open University UK,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
120,Worcester Polytechnic Institute,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
121,LUMS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,asia
122,Florida Atlantic University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,North America
123,Utrecht University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,europe
124,Victoria University of Wellington,0,0,0.0,0,0,0,0,0,0,0,0,0,0,australasia
