Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
35,Univ. of California - Los Angeles,0.0,53.42553163211057,0.0,55.88160173160176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
36,University of Washington,0.0,81.53518345456403,0.0,106.74682134673164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
37,Shenzhen University,0.0,3.01978021978022,0.0,13.38690476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
38,Heidelberg University,0.0,5.523088023088023,0.0,60.76323574086733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
39,Shanghai Jiao Tong University,0.0,17.32088554720133,0.0,43.05219363969368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
40,University of Texas at Austin,0.0,44.66308552558553,0.0,54.47247009526421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
41,Tianjin University,0.0,1.8619047619047613,0.0,5.777813852813853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
42,Tsinghua University,0.0,30.50108677871836,0.0,66.6368700743701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
43,UESTC,0.0,4.377777777777777,0.0,28.39761904761903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
44,University of Malaya,0.0,1.1666666666666663,0.0,4.330952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
45,Stanford University,0.0,165.15251283444678,0.0,211.0198746656866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
46,Nanyang Technological University,0.0,24.402813852813846,0.0,122.7216242538824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
47,University of Rochester,0.0,7.233333333333334,0.0,25.601623376623376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
48,HKUST,0.0,17.787619047619046,0.0,102.40551568314729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
49,University College London,0.0,36.15400432900433,0.0,34.63272005772003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
50,University of Bath,0.0,3.809523809523809,0.0,12.983333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
51,Hasso Plattner Institute,0.0,3.3583333333333334,0.0,3.305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
52,Wuhan University,0.0,2.6619047619047618,0.0,25.475829725829715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
53,University of Toronto,0.0,111.35080623382648,0.0,209.68764087614883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
54,IST Austria,0.0,15.959656084656087,0.0,20.729401154401152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe
55,Georgia Institute of Technology,0.0,59.12926469665604,0.0,105.76779560308968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
56,Hebrew University of Jerusalem,0.0,59.84094516594518,0.0,97.13120110883274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
57,Tel Aviv University,0.0,88.37452380952382,0.0,150.53899711399706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
58,Lehigh University,0.0,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
59,Technion,0.0,120.02108590334392,0.0,138.12142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
60,New York University,0.0,134.00317460317456,0.0,141.44447862079448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
61,Northeastern University,0.0,27.076445288684603,0.0,43.58253968253969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
62,TTI Chicago,0.0,49.3812963782004,0.0,28.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
63,Univ. of Illinois at Urbana-Champaign,0.0,42.39444444444446,0.0,66.3772366522367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America
