Timestamp,Enter industry/university affiliation,What area of study within computer science do you focus in?,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5
3/18/2024 12:45:48,University of Illinois Chicago,Programming languages and verification,"RustBelt Meets Relaxed Memory; Hoang-Hai Dang, Jacques-Henri Jourdan, Jan-Oliver Kaiser, Derek Dreyer; 2020","RefinedC: Automating the Foundational Verification of C Code with Refined Ownership Types; Michael Sammler, Rodolphe Lepigre, Robbert Krebbers, Kayvan Memarian, Derek Dreyer, Deepak Garg; 2021","Melocoton: A Program Logic for Verified Interoperability Between OCaml and C; Armaël Guéneau, Johannes Hostert, Simon Spies, Michael Sammler, Lars Birkedal, Derek Dreyer; 2023","Time Credits and Time Receipts in Iris; Glen Mével, Jacques-Henri Jourdan, François Pottier; 2019","Alive2: Bounded Translation Validation for LLVM; Nuno P. Lopes, Juneyoung Lee, Chung-Kil Hur, Zhengyang Liu, John Regehr; 2021","MoSeL: A General, Extensible Modal Framework for Interactive Proofs in Separation Logic; Robbert Krebbers, Jacques-Henri Jourdan, Ralf Jung, Joseph Tassarotti, Jan-Oliver Kaiser, Amin Timany, Arthur Charguéraud, Derek Dreyer; 2018","Strong Logic for Weak Memory: Reasoning About Release-Acquire Consistency in Iris; Jan-Oliver Kaiser, Hoang-Hai Dang, Derek Dreyer, Ori Lahav, Viktor Vafeiadis; 2017","Iris: Monoids and Invariants as an Orthogonal Basis for Concurrent Reasoning; Ralf Jung, David Swasey, Filip Sieczkowski, Kasper Svendsen, Aaron Turon, Lars Birkedal, Derek Dreyer; 2015","On Library Correctness under Weak Memory Consistency; Azalea Raad, Marko Doko, Lovro Rožić, Ori Lahav, Viktor Vafeadis; 2019","Verified Correctness and Security of OpenSSL HMAC; Lennart Beringer, Adam Petcher, Katherine Q. Ye, and Andrew W. Appel; 2015"
3/23/2024 11:45:23,University of South Carolina,Artificial intelligence,"Learning programs by leafrning from failures; Cropper, Andrew and Rolf Morel; 2021","Answer set solving in practice; Gebser, M.; Kaminski, R.; Kaufmann, B.; and Schaub, T; 2022","Retro*: learning retrosynthetic planning with neural guided A* search; Chen, Binghong, Chengtao Li, Hanjun Dai, and Le Song; 2020","Zhang, Y.-H.; Zheng, P.-L.; Zhang, Y.; and Deng, D.-L; Topological Quantum Compiling with Reinforcement Learning; 2020","Asnets: Deep learning for generalised planning; Toyer, S.; Thi´ebaux, S.; Trevizan, F.; and Xie, L; 2020","Hindsight experience replay; Andrychowicz, Marcin, Filip Wolski, Alex Ray, Jonas Schneider, Rachel Fong, Peter Welinder, Bob McGrew, Josh Tobin, Pieter Abbeel; 2017","Mastering the game of go without human knowledge; Silver, David, Julian Schrittwieser, Karen Simonyan, Ioannis Antonoglou, Aja Huang, Arthur Guez, Thomas Hubert et al.; 2017","Human-level control through deep reinforcement learning; Mnih, Volodymyr, Koray Kavukcuoglu, David Silver, Andrei A. Rusu, Joel Veness, Marc G. Bellemare, Alex Graves et al.; 2015","Deep residual learning for image recognition; He, Kaiming, Xiangyu Zhang, Shaoqing Ren, and Jian Sun; 2016","Adam: A method for stochastic optimization; Kingma, Diederik P., and Jimmy Ba; 2014"
3/30/2024 19:34:25,Peking University,Computer systems and networks,"A Syntax-Guided Edit Decoder for Neural Program Repair; Qihao Zhu, Zeyu Sun, Yuanan Xiao, Wenjie Zhang, Kang Yuan, Yingfei Xiong, Lu Zhang; 2021; ESEC/FSE","Accelerating Patch Validation for Program Repair with Interception-Based Execution Scheduling; 	Yuanan Xiao, Chenyang Yang, Bo Wang, Yingfei Xiong; 2024; IEEE TSE","Decomposition-Based Synthesis for Applying D&C-Like Algorithmic Paradigms; 	Ruyi Ji, Yuwei Zhao, Yingfei Xiong*, Di Wang, Lu Zhang, Zhenjiang Hu; 2024","Fault Localization via Efficient Probabilistic Modeling of Program Semantics. Muhan Zeng, Yiqian Wu, Zhentao Ye, Yingfei Xiong, Xin Zhang, Lu Zhang. 2022. ICSE","Probabilistic Delta Debugging. Guancheng Wang, Ruobing Shen, Junjie Chen, Yingfei Xiong, Lu Zhang; 2021; ESEC/FSE","Precise Condition Synthesis for Program Repair; Yingfei Xiong, Jie Wang, Runfa Yan, Jiachen Zhang, Shi Han, Gang Huang, Lu Zhang; 2017; ICSE","Shaping Program Repair Space with Existing Patches and Similar Code; Jiajun Jiang, Yingfei Xiong*, Hongyu Zhang, Qing Gao, Xiangqun Chen; 2018; ISSTA","Identifying Patch Correctness in Test-Based Program Repair; Yingfei Xiong, Xinyuan Liu, Muhan Zeng, Lu Zhang, Gang Huang; 2018; ICSE","A Syntax-Guided Edit Decoder for Neural Program Repair; Qihao Zhu, Zeyu Sun, Yuanan Xiao, Wenjie Zhang, Kang Yuan, Yingfei Xiong, Lu Zhang; 2021; ESEC/FSE","Probabilistic Delta Debugging. Guancheng Wang, Ruobing Shen, Junjie Chen, Yingfei Xiong, Lu Zhang; 2021; ESEC/FSE"
3/31/2024 19:02:38,University of Alberta,Technical Games Research,"Felt: a simple story sifter; M Kreminski, M Dickinson, N Wardrip-Fruin; 2019; ICIDS",,,,,Recurrent world models facilitate policy evolution; D Ha and J Schmidhuber; 2018; NeurIPS,Sketching a map of the storylets design space; M Kreminski and N Wardrip-Fruin; 2018; ICIDS ,"Felt: a simple story sifter; M Kreminski, M Dickinson, N Wardrip-Fruin; 2019; ICIDS",,
4/17/2024 6:57:02,Illinois Institute of Technology,Computer systems and networks,SplitFS: reducing software overhead in file systems for persistent memory; Kadekodi et al.; 2019,FPVM: Towards a Floating Point Virtual Machine; Dinda et al.; 2022,CAP-VMs: Capability-Based Isolation and Sharing in the Cloud; Sartakov et al.; 2022,HiveMind: A Hardware-Software System Stack for Serverless Edge Swarms; Patterson et al.; 2022,"Direct Access, High-Performance Memory Disaggregation with DirectCXL; Gouk et al.; 2022","LegoOS: A Disseminated, Distributed OS for Hardware Resource Disaggregation; Shan et al.; 2018","Software-Defined Far Memory in
Warehouse-Scale Computers; Lagar-Cavilla et al.; 2019",Peeking Behind the Curtains of Serverless Platforms; Wang et al.; 2018,HermitCore: A Unikernel for Extreme Scale Computing; Lankes et al.; 2016,EbbRT: A Framework for Building Per-Application Library Operating Systems; Schatzberg et al.; 2016
4/17/2024 7:00:33,University of North Carolina,Medical Image Computing,"   Heterogeneous Graph Convolutional Neural Network via Hodge-Laplacian for Brain Functional Data; Huang J, Chung MK, Qiu A;2023","Detect and correct bias in multi-site neuroimaging datasets; Wachinger C, Rieckmann A, Pölsterl S; 2021","SPHARM-Net: Spherical Harmonics-based Convolution for Cortical Parcellation; Ha S, Lyu I. ; 2022","SynthSeg: Segmentation of brain MRI scans of any contrast and resolution without retraining;Billot B, Greve DN, Puonti O, Thielscher A, Leemput KV, Fischl B, Dalca AV, Iglesias JE, ADNI;2023;","Fast predictive simple geodesic regression;Zhipeng Ding, Greg M. Fleishman, Xiao Yang, Paul Thompson, Roland Kwitt, Marc Niethammer;2019","Graph convolutions on spectral embeddings for cortical surface parcellation; K Gopinath, C Desrosiers, H Lombaert;;2019","Quicksilver: Fast predictive image registration–a deep learning approach; X Yang, R Kwitt, M Styner, M Niethammer, 2017","U-Net: Convolutional Networks for Biomedical Image Segmentation;Ronneberger O, Fischer P, Brox T;2015","
Non Local Spatial and Angular Matching: Enabling higher spatial resolution diffusion MRI datasets through adaptive denoising; St-Jean S, Coup P, Descoteaux M;2016 
  ",". Multi-atlas segmentation of biomedical images: A survey;Iglesias JE, Sabuncu MR;2015"
4/17/2024 11:27:08,Aarhus University,Human computer interaction,Boba: Authoring and Visualizing Multiverse Analyses; Yang Liu et al.; 2021,Data Analytics Anywhere and Everywhere; Niklas Elmqvist; 2023,Co-adaptive visual data analysis and guidance processes; Fabian Sperrle et al.; 2021,A theoretical model for pattern discovery in visual analytics; Natalia Andrienko et al.; 2021,Why Shouldn’t All Charts Be Scatter Plots? Beyond Precision-Driven Visualizations; Enrico Bertini et al.; 2020,"Warning, bias may occur: A proposed approach to detecting cognitive bias in interactive visual analytics; Emily Wall et al.; 2017",Progressive Visual Analytics: User-Driven Visual Exploration of In-Progress Analytics; Charles Stolper et al.; 2014,Vega-Lite: A Grammar of Interactive Graphics; Arvind Satyanarayan et al.; 2017,Atom: A Grammar for Unit Visualizations; Deokgun Park et al.; 2018,Quality Metrics for Information Visualization; Michael Behrisch et al.; 2018
4/19/2024 20:39:44,University of Copenhagen ,Artificial intelligence,"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding; Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova; NAACL 2019","Don’t Stop Pretraining: Adapt Language Models to Domains and Tasks; Suchin Gururangan, Ana Marasović, Swabha Swayamdipta, Kyle Lo, Iz Beltagy, Doug Downey, and Noah A. Smith; ACL 2020","Universal Dependencies; Marie-Catherine de Marneffe, Christopher D. Manning, Joakim Nivre, and Daniel Zeman; CL 2021","Language Models as Knowledge Bases?; Fabio Petroni, Tim Rocktäschel, Sebastian Riedel, Patrick Lewis, Anton Bakhtin, Yuxiang Wu, and Alexander Miller; EMNLP-IJCNLP 2019","Multilingual LAMA: Investigating Knowledge in Multilingual Pretrained Language Models; Nora Kassner, Philipp Dufter, and Hinrich Schütze; EACL 2021","Attention Is All You Need; Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin; NeurIPS 2017","Neural Machine Translation by Jointly Learning to Align and Translate; Dzmitry Bahdanau, Kyunghyun Cho, Yoshua Bengio; ICLR 2015","Deep Biaffine Attention for Neural Dependency Parsing; Timothy Dozat, Christopher D. Manning; ICLR 2017",A Fast and Accurate Dependency Parser using Neural Networks; Danqi Chen and Christopher Manning; EMNLP 2014,"Many Languages, One Parser; Waleed Ammar, George Mulcaire, Miguel Ballesteros, Chris Dyer, and Noah A. Smith; TACL 2016"
4/20/2024 14:51:17,Virginia Tech,Digital Libraries,"SciKGTeX - A LaTeX Package to Semantically Annotate Contributions in Scientific Publications; Christof Bless, Ildar Baimuratov and Oliver Karras; 2023","Investigating Bloom Filters for Web Archives’ Holdings; Martin Klein, Lyudmila Balakireva, Karolina Holub, Draženko Celjak, and Ingeborg Rudomino; 2022","Estimating Contemporary Relevance of Past News; Mari Sato, Adam Jatowt, Yijun Duan, Ricardo Campos, and Masatoshi Yoshikawa; 2021",Personalization Finder: A Search Interface for Identifying and Self-controlling Web Search Personalization; Yusuke Yamamoto and Takehiro Yamamoto; 2020,"Do Authors Deposit on Time? Tracking Open Access Policy Compliance; Drahomira Herrmannova, Nancy Pontika, and Petr Knoth; 201","Impact of Crowdsourcing OCR Improvements on Retrievability Bias; Myriam C. Traub, Thaer Samar, Jacco van Ossenbruggen, and Lynda Hardman; 2018","Entity-Aspect Linking: Providing Fine-Grained Semantics of Entities in Context; Federico Nanni, Simone Paolo Ponzetto, and Laura Dietz; 2018","Quill: A Framework for Constructing Negotiated Texts - with a Case Study on the US Constitutional Convention of 1787; Nicholas Cole, Alfie Abdul-Rahman, and Grace Mallon; 2017","Comparing Published Scientific Journal Articles to Their Pre-print Versions; Martin Klein, Peter Broadwell, Sharon Farb, and Todd Grappone;	2016",Result List Actions in Fiction Search; Pertti Vakkari and Janna Pöntinen; 2015
4/22/2024 9:38:05,Northwestern University,Databases and data mining,"Umbra: A Disk-Based System with In-Memory Performance; Thomas Neumann, Michael J. Freitag; 2020","Bao: Making Learned Query Optimization Practical; Ryan Marcus, Parimarjan Negi, Hongzi Mao, Nesime Tatbul, Mohammad Alizadeh, Tim Kraska; 2021","DBOS: A DBMS-oriented Operating System; Athinagoras Skiadopoulos, Qian Li, Peter Kraft, Kostis Kaffes, Daniel Hong, Shana Mathew, David Bestor, Michael J. Cafarella, Vijay Gadepally, Goetz Graefe, Jeremy Kepner, Christos Kozyrakis, Tim Kraska, Michael Stonebraker, Lalith Suresh, Matei Zaharia; 2021",,,"How Good Are Query Optimizers, Really?; Viktor Leis, Andrey Gubichev, Atanas Mirchev, Peter A. Boncz, Alfons Kemper, Thomas Neumann; 2015","Self-Driving Database Management Systems; Andrew Pavlo, Gustavo Angulo, Joy Arulraj, Haibin Lin, Jiexi Lin, Lin Ma, Prashanth Menon, Todd C. Mowry, Matthew Perron, Ian Quah, Siddharth Santurkar, Anthony Tomasic, Skye Toor, Dana Van Aken, Ziqi Wang, Yingjun Wu, Ran Xian, Tieying Zhang; 2017","MacroBase: Prioritizing Attention in Fast Data; Peter Bailis, Edward Gan, Samuel Madden, Deepak Narayanan, Kexin Rong, Sahaana Suri; 2017","SuRF: Practical Range Query Filtering with Fast Succinct Tries; Huanchen Zhang, Hyeontaek Lim, Viktor Leis, David G. Andersen, Michael Kaminsky, Kimberly Keeton, Andrew Pavlo; 2018","The Case for Learned Index Structures; Tim Kraska, Alex Beutel, Ed H. Chi, Jeffrey Dean, Neoklis Polyzotis; 2018"
4/23/2024 14:24:07,Boise State University,Natural Language Processing,Attention Is All You Need; Ashish Vaswani and Noam Shazeer and Niki Parmar and Jakob Uszkoreit and Llion Jones and Aidan N. Gomez and Lukasz Kaiser and Illia Polosukhin; 2017,Dialog State Tracking: A Neural Reading Comprehension Approach; Shuyang Gao and Abhishek Sethi and Sanchit Agarwal and Tagyoung Chung and Dilek Hakkani-Tur; 2019,TripPy: A Triple Copy Strategy for Value Independent Neural Dialog State Tracking; Michael Heck and Carel van Niekerk and Nurul Lubis and Christian Geishauser and Hsien-Chin Lin and Marco Moresi and Milica Gašić; 2020,,,"imple Learning and Compositional Application of Perceptually Grounded Word Meanings for Incremental Reference Resolution; Kennington, Casey  and       Schlangen, David; 2015",,,,
4/24/2024 13:47:14,University of Kent,Programming Languages,"Low-latency, high-throughput garbage collection; Wenyu Zhao, Steve Blackburn, and Kathryn S. McKinley; 2022",,,,,"Fast conservative garbage collection; Rifat Shahriyar, Stephen M. Blackburn, and Kathryn S. McKinley; 2014","Rust as a language for high performance GC implementation; Yi Lin, Stephen M. Blackburn, Antony L. Hosking, and Michael Norrish; 2016",,,
