Index,University,Artificial Intelligence & Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
41,Tianjin University,1.8619047619047615,0.0,5.777813852813853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
42,Tsinghua University,30.501086778718356,0.0,66.6368700743701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
43,UESTC,4.377777777777777,0.0,28.39761904761903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
44,University of Malaya,1.1666666666666665,0.0,4.330952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
45,Stanford University,165.15251283444678,0.0,211.0198746656866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
46,Nanyang Technological University,24.402813852813846,0.0,122.72162425388241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
47,University of Rochester,7.233333333333334,0.0,25.601623376623376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
48,HKUST,17.787619047619046,0.0,102.40551568314727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
49,University College London,36.15400432900433,0.0,34.63272005772003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
50,University of Bath,3.8095238095238093,0.0,12.983333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
51,Hasso Plattner Institute,3.3583333333333334,0.0,3.305555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
52,Wuhan University,2.6619047619047618,0.0,25.475829725829715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
53,University of Toronto,111.35080623382648,0.0,209.68764087614883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
54,IST Austria,15.959656084656087,0.0,20.729401154401152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
55,Georgia Institute of Technology,59.12926469665604,0.0,105.76779560308968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
56,Hebrew University of Jerusalem,59.84094516594518,0.0,97.13120110883274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
57,Tel Aviv University,88.37452380952382,0.0,150.53899711399706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
58,Lehigh University,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
59,Technion,120.02108590334392,0.0,138.12142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
60,New York University,134.00317460317456,0.0,141.44447862079448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
61,Northeastern University,27.076445288684603,0.0,43.58253968253969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
62,TTI Chicago,49.381296378200396,0.0,28.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
