Faculty Name,University,Conference,Category,Score,Matched
Sandeep Kumar,IIT Delhi,ICCV,Computer Vision & Image Processing,0.0625,Yes
Jacob Andreas,Massachusetts Institute of Technology,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Nicholas Donald Lane,University of Cambridge,ICCV,Computer Vision & Image Processing,0.0625,Yes
Ramesh Raskar,Massachusetts Institute of Technology,ICCV,Computer Vision & Image Processing,0.0625,Yes
Shai Avidan,Tel Aviv University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Stefan Lee,Oregon State University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Yuexin Ma,ShanghaiTech University,ICCV,Computer Vision & Image Processing,0.01,Yes
Dinesh Manocha,University of Maryland - College Park,ICCV,Computer Vision & Image Processing,0.01,Yes
Vlado Menkovski,TU Eindhoven,ICCV,Computer Vision & Image Processing,0.04,Yes
Mykola Pechenizkiy,TU Eindhoven,ICCV,Computer Vision & Image Processing,0.04,Yes
Xiaoqing Zheng,Fudan University,ICCV,Computer Vision & Image Processing,0.04,Yes
Zhangyang Wang,University of Texas at Austin,ICCV,Computer Vision & Image Processing,0.04,Yes
Jianwei Lu,Tongji University,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Hamid Rezatofighi,Monash University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Alexander Binder,University of Magdeburg,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Wojciech Samek,TU Berlin,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Konrad Schindler,ETH Zurich,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Anders Bjorholm Dahl,DTU,ICCV,Computer Vision & Image Processing,0.04,Yes
Yidong Li,Beijing Jiaotong University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Hyunjung Shim,KAIST,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Ruimao Zhang,CUHK (SZ),ICCV,Computer Vision & Image Processing,0.0625,Yes
Eric Granger,ETS Montreal,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Gerard Pons-Moll,University of Tübingen,ICCV,Computer Vision & Image Processing,0.0625,Yes
Pablo Arbeláez,Universidad de los Andes,ICCV,Computer Vision & Image Processing,0.04,Yes
Markus Steinberger,Graz University of Technology,ICCV,Computer Vision & Image Processing,0.04,Yes
Ren Ng,Univ. of California - Berkeley,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Andreas Geiger 0001,University of Tübingen,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Shenghua Gao,ShanghaiTech University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Jungdam Won,Seoul National University,ICCV,Computer Vision & Image Processing,0.04,Yes
Kyungho Lee,Korea University,ICCV,Computer Vision & Image Processing,0.04,Yes
Jehee Lee,Seoul National University,ICCV,Computer Vision & Image Processing,0.04,Yes
Xiaodan Liang,Sun Yat-sen University,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Xiaojun Chang,University of Technology Sydney,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Yedid Hoshen,Hebrew University of Jerusalem,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Wangmeng Zuo,Harbin Institute of Technology,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Venkatesh Babu Radhakrishnan,IISc Bangalore,ICCV,Computer Vision & Image Processing,0.04,Yes
Qianru Sun,Singapore Management University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Jaeho Lee,POSTECH,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Claire Cardie,Cornell University,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Ser-Nam Lim,University of Central Florida,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Juanzi Li,Tsinghua University,ICCV,Computer Vision & Image Processing,0.015625,Yes
Jianping Wu,Tsinghua University,ICCV,Computer Vision & Image Processing,0.01,Yes
Jingbo Shang,Univ. of California - San Diego,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Antonio Torralba 0001,Massachusetts Institute of Technology,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Alexei A. Efros,Univ. of California - Berkeley,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Steven M. Seitz,University of Washington,ICCV,Computer Vision & Image Processing,0.0625,Yes
C. V. Jawahar,IIIT Hyderabad,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Lixin Duan,UESTC,ICCV,Computer Vision & Image Processing,0.0625,Yes
Jae-Young Sim,UNIST,ICCV,Computer Vision & Image Processing,0.0625,Yes
Peter Ochs,Saarland University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Evangelos Kalogerakis,University of Massachusetts Amherst,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Ivan Dokmanic,University of Basel,ICCV,Computer Vision & Image Processing,0.25,Yes
Lihi Zelnik-Manor,Technion,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Michael M. Bronstein,Imperial College London,ICCV,Computer Vision & Image Processing,0.0625,Yes
Bumsub Ham,Yonsei University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Fahad Shahbaz Khan,MBZUAI,ICCV,Computer Vision & Image Processing,0.0010405827263267,Yes
Changyou Chen,University at Buffalo,ICCV,Computer Vision & Image Processing,0.0010405827263267,Yes
Hamed Hassani,University of Pennsylvania,ICCV,Computer Vision & Image Processing,0.0625,Yes
Boxin Shi,Peking University,ICCV,Computer Vision & Image Processing,0.04,Yes
Keunsoo Ko,The Catholic University of Korea,ICCV,Computer Vision & Image Processing,0.0625,Yes
Zhuowen Tu,Univ. of California - San Diego,ICCV,Computer Vision & Image Processing,0.04,Yes
Liujuan Cao,Xiamen University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Shuting He,SUFE,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Yong Man Ro,KAIST,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Jian-Huang Lai,Sun Yat-sen University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Xiaohua Xie,Sun Yat-sen University,ICCV,Computer Vision & Image Processing,0.0625,Yes
David McAllester,TTI Chicago,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Mohammed Bennamoun,University of Western Australia,ICCV,Computer Vision & Image Processing,0.04,Yes
David Duvenaud,University of Toronto,ICCV,Computer Vision & Image Processing,0.04,Yes
Daniela Rus,Massachusetts Institute of Technology,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Qixing Huang,University of Texas at Austin,ICCV,Computer Vision & Image Processing,0.01,Yes
Dan Jurafsky,Stanford University,ICCV,Computer Vision & Image Processing,0.04,Yes
Jeff Clune,University of British Columbia,ICCV,Computer Vision & Image Processing,0.0625,Yes
Piyush Rai,IIT Kanpur,ICCV,Computer Vision & Image Processing,0.04,Yes
Kaiyang Zhou,Hong Kong Baptist University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Benjamin Recht,Univ. of California - Berkeley,ICCV,Computer Vision & Image Processing,0.0625,Yes
Liming Cai,University of Georgia,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Junwei Han,NWPU,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Stefan Gumhold,TU Dresden,ICCV,Computer Vision & Image Processing,0.0625,Yes
Pascal Fua,EPFL,ICCV,Computer Vision & Image Processing,0.0625,Yes
Kwang Moo Yi,University of British Columbia,ICCV,Computer Vision & Image Processing,0.0625,Yes
Jean Ponce,Ecole Normale Superieure,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Seong-Whan Lee,Korea University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Xingang Pan,Nanyang Technological University,ICCV,Computer Vision & Image Processing,0.04,Yes
Zhedong Zheng,University of Macau,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Alan Fern,Oregon State University,ICCV,Computer Vision & Image Processing,0.04,Yes
Martin Erwig,Oregon State University,ICCV,Computer Vision & Image Processing,0.04,Yes
Finale Doshi-Velez,Harvard University,ICCV,Computer Vision & Image Processing,0.04,Yes
Hariharan Narayanan,Tata Inst. of Fundamental Research,ICCV,Computer Vision & Image Processing,0.25,Yes
Anhong Guo,University of Michigan,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Alexandra To,Northeastern University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Simon Caton,University College Dublin,ICCV,Computer Vision & Image Processing,0.25,Yes
Yunchao Wei,Beijing Jiaotong University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Hanwang Zhang,Nanyang Technological University,ICCV,Computer Vision & Image Processing,0.04,Yes
Danica J. Sutherland,University of British Columbia,ICCV,Computer Vision & Image Processing,0.0625,Yes
Michael King,Florida Institute of Technology,ICCV,Computer Vision & Image Processing,0.04,Yes
Timo Gerkmann,University of Hamburg,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Kaili Zhao,BUPT,ICCV,Computer Vision & Image Processing,0.04,Yes
Yajing Xu,BUPT,ICCV,Computer Vision & Image Processing,0.04,Yes
Gui-Song Xia,Wuhan University,ICCV,Computer Vision & Image Processing,0.0123456790123456,Yes
Deming Chen,Univ. of Illinois at Urbana-Champaign,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Antoni B. Chan,City University of Hong Kong,ICCV,Computer Vision & Image Processing,0.25,Yes
Carla P. Gomes,Cornell University,ICCV,Computer Vision & Image Processing,0.04,Yes
Shengfeng He,Singapore Management University,ICCV,Computer Vision & Image Processing,0.04,Yes
Wenjie Pei,Harbin Institute of Technology,ICCV,Computer Vision & Image Processing,0.0625,Yes
Sinisa Todorovic,Oregon State University,ICCV,Computer Vision & Image Processing,0.25,Yes
Byron Boots,University of Washington,ICCV,Computer Vision & Image Processing,0.04,Yes
Xiangyu Xu 0002,Xi'an Jiaotong University,ICCV,Computer Vision & Image Processing,0.04,Yes
Jinwei Gu,Chinese University of Hong Kong,ICCV,Computer Vision & Image Processing,0.04,Yes
Shihui Guo,Xiamen University,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Jindong Wang,College of William and Mary,ICCV,Computer Vision & Image Processing,0.01,Yes
Asanobu Kitamoto,National Institute of Informatics,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Chongxuan Li,Renmin University of China,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Yadong Mu,Peking University,ICCV,Computer Vision & Image Processing,0.01,Yes
Tomás Pajdla,Czech Technical University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Jongwuk Lee,Sungkyunkwan University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Vivienne Sze,Massachusetts Institute of Technology,ICCV,Computer Vision & Image Processing,0.04,Yes
Chiew-Lan Tai,HKUST,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Emanuele Trucco,University of Dundee,ICCV,Computer Vision & Image Processing,0.0625,Yes
Nico Karssemeijer,Radboud University,ICCV,Computer Vision & Image Processing,0.01,Yes
Brandon Reagen,New York University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Chinmay Hegde,New York University,ICCV,Computer Vision & Image Processing,0.04,Yes
Gedas Bertasius,University of North Carolina,ICCV,Computer Vision & Image Processing,0.25,Yes
Kimin Lee,KAIST,ICCV,Computer Vision & Image Processing,0.0123456790123456,Yes
Aditya Grover,Univ. of California - Los Angeles,ICCV,Computer Vision & Image Processing,0.0123456790123456,Yes
Judy Hoffman,Georgia Institute of Technology,ICCV,Computer Vision & Image Processing,0.015625,Yes
Youngjung Uh,Yonsei University,ICCV,Computer Vision & Image Processing,0.04,Yes
Yung-Yu Chuang,National Taiwan University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Ser Nam Lim,University of Central Florida,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Kevin Smith,KTH Royal Institute of Technology,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Jaewoo Kang,Korea University,ICCV,Computer Vision & Image Processing,0.04,Yes
Jürgen Schmidhuber,KAUST,ICCV,Computer Vision & Image Processing,0.25,Yes
Dmitry P. Vetrov,HSE University,ICCV,Computer Vision & Image Processing,0.04,Yes
Andrew Gordon Wilson,New York University,ICCV,Computer Vision & Image Processing,0.04,Yes
Prakash Panangaden,McGill University,ICCV,Computer Vision & Image Processing,0.04,Yes
Yuanming Shi,ShanghaiTech University,ICCV,Computer Vision & Image Processing,0.04,Yes
Sanjeev Arora,Princeton University,ICCV,Computer Vision & Image Processing,0.04,Yes
Kede Ma,City University of Hong Kong,ICCV,Computer Vision & Image Processing,0.0625,Yes
Shiqi Wang 0001,City University of Hong Kong,ICCV,Computer Vision & Image Processing,0.0625,Yes
Yasutaka Furukawa,Simon Fraser University,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Brian Curless,University of Washington,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
David B. Lindell,University of Toronto,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Raja Giryes,Tel Aviv University,ICCV,Computer Vision & Image Processing,0.04,Yes
Mathieu Salzmann,EPFL,ICCV,Computer Vision & Image Processing,0.0123456790123456,Yes
Debora Nozza,Bocconi University,ICCV,Computer Vision & Image Processing,0.01,Yes
Tatsunori Hashimoto,Stanford University,ICCV,Computer Vision & Image Processing,0.01,Yes
Aylin Caliskan,University of Washington,ICCV,Computer Vision & Image Processing,0.01,Yes
Yuta Nakashima,Osaka University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Liqiang Nie,Harbin Institute of Technology,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Julian McAuley,Univ. of California - San Diego,ICCV,Computer Vision & Image Processing,0.04,Yes
Sagie Benaim,Hebrew University of Jerusalem,ICCV,Computer Vision & Image Processing,0.25,Yes
Yu-Kun Lai,Cardiff University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Joseph N. Wilson,University of Florida,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Paul D. Gader,University of Florida,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Naftali Tishby,Hebrew University of Jerusalem,ICCV,Computer Vision & Image Processing,0.25,Yes
Jana Kosecka,George Mason University,ICCV,Computer Vision & Image Processing,0.01,Yes
Niko Sünderhauf,Queensland University of Technology,ICCV,Computer Vision & Image Processing,0.0123456790123456,Yes
Kyunghyun Cho,New York University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Anshul Kundaje,Stanford University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Ram Nevatia,University of Southern California,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Ruzena Bajcsy,University of Pennsylvania,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Yiannis Aloimonos,University of Maryland - College Park,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Jaegul Choo,KAIST,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Chenghua Lin,University of Manchester,ICCV,Computer Vision & Image Processing,0.04,Yes
Frank Guerin,University of Surrey,ICCV,Computer Vision & Image Processing,0.04,Yes
Anna Rohrbach,TU Darmstadt,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Syed Zulqarnain Gilani,University of Western Australia,ICCV,Computer Vision & Image Processing,0.04,Yes
John Shawe-Taylor,University College London,ICCV,Computer Vision & Image Processing,0.04,Yes
Harold Abelson,Massachusetts Institute of Technology,ICCV,Computer Vision & Image Processing,0.0625,Yes
Jia Deng 0001,Princeton University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Kai Li 0001,Princeton University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Li Fei-Fei 0001,Stanford University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Harish G. Ramaswamy,IIT Madras,ICCV,Computer Vision & Image Processing,0.25,Yes
Tzu-Mao Li,Univ. of California - San Diego,ICCV,Computer Vision & Image Processing,0.0625,Yes
Ioannis Mitliagkas,University of Montreal,ICCV,Computer Vision & Image Processing,0.0625,Yes
Sungroh Yoon,Seoul National University,ICCV,Computer Vision & Image Processing,0.04,Yes
Steven C. H. Hoi,Singapore Management University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Robert Sablatnig,TU Wien,ICCV,Computer Vision & Image Processing,0.0625,Yes
Venu Govindaraju,University at Buffalo,ICCV,Computer Vision & Image Processing,0.0625,Yes
KyungHyun Cho,New York University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Jianbing Shen,University of Macau,ICCV,Computer Vision & Image Processing,0.25,Yes
Weiyang Liu,Chinese University of Hong Kong,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Le Song,MBZUAI,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Liam Paull,University of Montreal,ICCV,Computer Vision & Image Processing,0.015625,Yes
Ehsan Elhamifar,Northeastern University,ICCV,Computer Vision & Image Processing,0.25,Yes
Tsung-Yi Ho,Chinese University of Hong Kong,ICCV,Computer Vision & Image Processing,0.0625,Yes
Amir Globerson,Tel Aviv University,ICCV,Computer Vision & Image Processing,0.0123456790123456,Yes
Jaesik Park,Seoul National University,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Joonseok Lee,Seoul National University,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Michael J. Kearns,University of Pennsylvania,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Yishay Mansour,Tel Aviv University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Henry Gouk,University of Edinburgh,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Andrea Tagliasacchi,Simon Fraser University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Tong Zhang 0001,HKUST,ICCV,Computer Vision & Image Processing,0.04,Yes
Alexander Hinneburg,University of Halle-Wittenberg,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Xiatian Zhu,University of Surrey,ICCV,Computer Vision & Image Processing,0.04,Yes
Stefan Harmeling,TU Dortmund,ICCV,Computer Vision & Image Processing,0.0625,Yes
Junyuan Xie,Nanjing University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Linli Xu,USTC,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Enhong Chen,USTC,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Shai Ben-David,University of Waterloo,ICCV,Computer Vision & Image Processing,0.04,Yes
Massimiliano Pontil,University College London,ICCV,Computer Vision & Image Processing,0.04,Yes
Mubarak Shah,University of Central Florida,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Alham Fikri Aji,MBZUAI,ICCV,Computer Vision & Image Processing,0.25,Yes
Dan Alistarh,IST Austria,ICCV,Computer Vision & Image Processing,0.04,Yes
Akihiro Sugimoto,National Institute of Informatics,ICCV,Computer Vision & Image Processing,0.04,Yes
Weisi Lin,Nanyang Technological University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Haibin Ling,Stony Brook University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Tongliang Liu,University of Sydney,ICCV,Computer Vision & Image Processing,0.015625,Yes
Niloy J. Mitra,University College London,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Tolga Birdal,Imperial College London,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Erkut Erdem,Hacettepe University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Aykut Erdem,Koç University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Edward Choi,KAIST,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Ranjay Krishna,University of Washington,ICCV,Computer Vision & Image Processing,0.01,Yes
Yuke Zhu,University of Texas at Austin,ICCV,Computer Vision & Image Processing,0.01,Yes
Linlin Shen,Shenzhen University,ICCV,Computer Vision & Image Processing,0.015625,Yes
Didier Stricker,TU Kaiserslautern,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Jonathan Ragan-Kelley,Massachusetts Institute of Technology,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Jing Huo,Nanjing University,ICCV,Computer Vision & Image Processing,0.04,Yes
Daniel Fried,Carnegie Mellon University,ICCV,Computer Vision & Image Processing,0.01,Yes
Chi-Man Pun,University of Macau,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Chunxia Xiao,Wuhan University,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Bedrich Benes,Purdue University,ICCV,Computer Vision & Image Processing,0.04,Yes
Julie Dorsey,Yale University,ICCV,Computer Vision & Image Processing,0.04,Yes
Pierre Poulin,University of Montreal,ICCV,Computer Vision & Image Processing,0.25,Yes
Alan L. Yuille,Johns Hopkins University,ICCV,Computer Vision & Image Processing,0.04,Yes
Long Quan,HKUST,ICCV,Computer Vision & Image Processing,0.0625,Yes
Maneesh Agrawala,Stanford University,ICCV,Computer Vision & Image Processing,0.015625,Yes
Joachim Denzler,Friedrich Schiller University Jena,ICCV,Computer Vision & Image Processing,0.25,Yes
Onur Mutlu,ETH Zurich,ICCV,Computer Vision & Image Processing,0.0123456790123456,Yes
Hwann-Tzong Chen,National Tsing Hua University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Se-Young Yun,KAIST,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Tommi S. Jaakkola,Massachusetts Institute of Technology,ICCV,Computer Vision & Image Processing,0.25,Yes
Pascal Frossard,EPFL,ICCV,Computer Vision & Image Processing,0.25,Yes
Amir Roshan Zamir,EPFL,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Arman Cohan,Yale University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Xun Cao,Nanjing University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Jihua Zhu,Xi'an Jiaotong University,ICCV,Computer Vision & Image Processing,0.04,Yes
Manfred Pinkal,Saarland University,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Michael Milford,Queensland University of Technology,ICCV,Computer Vision & Image Processing,0.25,Yes
Vincent Lepetit,Graz University of Technology,ICCV,Computer Vision & Image Processing,0.0625,Yes
Arvind Narayanan,Princeton University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Vivek Srikumar,University of Utah,ICCV,Computer Vision & Image Processing,0.04,Yes
Hannaneh Hajishirzi,University of Washington,ICCV,Computer Vision & Image Processing,0.04,Yes
Nojun Kwak,Seoul National University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Gaurav Sharma,University of Rochester,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Xiangyang Xue 0001,Fudan University,ICCV,Computer Vision & Image Processing,0.04,Yes
Xipeng Qiu,Fudan University,ICCV,Computer Vision & Image Processing,0.04,Yes
David A. Wagner 0001,Univ. of California - Berkeley,ICCV,Computer Vision & Image Processing,0.25,Yes
Stefan Leutenegger,TU Munich,ICCV,Computer Vision & Image Processing,0.04,Yes
Dima Damen,University of Bristol,ICCV,Computer Vision & Image Processing,0.01,Yes
Hazel Doughty,Leiden University,ICCV,Computer Vision & Image Processing,0.01,Yes
Giovanni Maria Farinella,University of Catania,ICCV,Computer Vision & Image Processing,0.01,Yes
Carl Vondrick,Columbia University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Qin Jin,Renmin University of China,ICCV,Computer Vision & Image Processing,0.0625,Yes
Saket Anand,IIIT Delhi,ICCV,Computer Vision & Image Processing,0.0625,Yes
Xue Bin Peng,Simon Fraser University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Karen Panetta,Tufts University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Laura Leal-Taixé,TU Munich,ICCV,Computer Vision & Image Processing,0.04,Yes
Miaojing Shi,King's College London,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Philipp Krähenbühl,University of Texas at Austin,ICCV,Computer Vision & Image Processing,0.0625,Yes
Olga Sorkine,ETH Zurich,ICCV,Computer Vision & Image Processing,0.04,Yes
Kyoung Mu Lee,Seoul National University,ICCV,Computer Vision & Image Processing,0.04,Yes
Dit-Yan Yeung,HKUST,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Christian Richardt,University of Bath,ICCV,Computer Vision & Image Processing,0.04,Yes
Mirella Lapata,University of Edinburgh,ICCV,Computer Vision & Image Processing,0.04,Yes
Matteo Matteucci,Politecnico di Milano,ICCV,Computer Vision & Image Processing,0.25,Yes
Sidi Lu,College of William and Mary,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Zhezhi He,Shanghai Jiao Tong University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Adnan Siraj Rakin,Binghamton University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Deliang Fan,Arizona State University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Zhifang Sui,Peking University,ICCV,Computer Vision & Image Processing,0.04,Yes
Yuyin Zhou,Univ. of California - Santa Cruz,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Kilian Q. Weinberger,Cornell University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Jie Ren,College of William and Mary,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Mohammad Sabokrou,IPM,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Hamed Pirsiavash,Univ. of California - Davis,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Namhoon Lee,POSTECH,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Yoshimitsu Aoki,Keio University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Adam Finkelstein,Princeton University,ICCV,Computer Vision & Image Processing,0.0625,Yes
Wonyong Sung,Seoul National University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Kurt Keutzer,Univ. of California - Berkeley,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Hongkai Xiong,Shanghai Jiao Tong University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Fumin Shen,UESTC,ICCV,Computer Vision & Image Processing,0.0277777777777777,Yes
Kui Jia,CUHK (SZ),ICCV,Computer Vision & Image Processing,0.04,Yes
Amir R. Zamir,EPFL,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Yossi Adi,Hebrew University of Jerusalem,ICCV,Computer Vision & Image Processing,0.04,Yes
Carsten Baum,DTU,ICCV,Computer Vision & Image Processing,0.04,Yes
Benny Pinkas,Bar-Ilan University,ICCV,Computer Vision & Image Processing,0.04,Yes
Joseph Keshet,Technion,ICCV,Computer Vision & Image Processing,0.04,Yes
Christopher D. Manning,Stanford University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Jinquan Zeng,UESTC,ICCV,Computer Vision & Image Processing,0.0625,Yes
Somak Aditya,IIT Kharagpur,ICCV,Computer Vision & Image Processing,0.04,Yes
Yezhou Yang,Arizona State University,ICCV,Computer Vision & Image Processing,0.04,Yes
Chitta Baral,Arizona State University,ICCV,Computer Vision & Image Processing,0.04,Yes
Shiqi Zhang 0001,Binghamton University,ICCV,Computer Vision & Image Processing,0.1111111111111111,Yes
Saurabh Gupta 0001,Univ. of Illinois at Urbana-Champaign,ICCV,Computer Vision & Image Processing,0.0204081632653061,Yes
Marc Alexa,TU Berlin,ICCV,Computer Vision & Image Processing,0.25,Yes
Grant Van Horn,University of Massachusetts Amherst,ICCV,Computer Vision & Image Processing,0.0625,Yes
Qifeng Chen,HKUST,ICCV,Computer Vision & Image Processing,0.25,Yes
Henry Fuchs,University of North Carolina,ICCV,Computer Vision & Image Processing,0.0625,Yes
Amnon Shashua,Hebrew University of Jerusalem,ICCV,Computer Vision & Image Processing,0.25,Yes
