Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
38,Heidelberg University,0.0,5.523088023088023,0.0,60.76323574086733,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
39,Shanghai Jiao Tong University,0.0,17.46374269005847,0.0,43.052193639693684,1.5088235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
40,University of Texas at Austin,0.0,46.055942668442675,0.0,54.47247009526421,6.501190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
41,Tianjin University,0.0,2.028571428571428,0.0,5.777813852813853,0.5416666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
42,Tsinghua University,0.0,30.751086778718356,0.0,69.62972721722723,6.7857142857142865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
43,UESTC,0.0,4.377777777777777,0.0,28.39761904761903,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
44,University of Malaya,0.0,1.1666666666666665,0.0,4.330952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
45,Stanford University,0.0,167.6858461677801,0.0,317.6414405997526,61.2859649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
46,Nanyang Technological University,0.0,24.736147186147182,0.0,122.72162425388241,8.192857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
47,University of Rochester,0.0,7.233333333333334,0.0,25.601623376623376,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
48,HKUST,0.0,18.07333333333333,0.0,102.40551568314727,5.783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
49,University College London,0.0,36.15400432900433,0.0,34.63272005772003,0.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
50,University of Bath,0.0,3.8095238095238093,0.0,12.983333333333333,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
51,Hasso Plattner Institute,0.0,3.3583333333333334,0.0,3.305555555555556,1.3511904761904758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
52,Wuhan University,0.0,2.6619047619047618,0.0,25.475829725829715,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
53,University of Toronto,0.0,113.21429829731854,0.0,209.68764087614883,16.21944444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
54,IST Austria,0.0,16.45965608465609,0.0,20.729401154401152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
55,Georgia Institute of Technology,0.0,60.062598029989374,0.0,105.76779560308968,6.283333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
56,Hebrew University of Jerusalem,0.0,62.174278499278515,0.0,97.13120110883274,4.275000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
57,Tel Aviv University,0.0,88.37452380952382,0.0,150.53899711399706,20.97414529914529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
58,Lehigh University,0.0,0.375,0.0,0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
