Rank,University,Artificial intelligence,Computer systems and networks,Cybersecurity,Databases and data mining,Digital Libraries,Human computer interaction,Machine Learning,Medical Image Computing,Natural Language Processing,Parallel Computing,Program Analysis,Programming Languages,Programming languages and verification,Vision and graphics
80,CUHK (SZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Arizona State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,CUHK (SZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,IIIT Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,IIIT Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Université Jean Monnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Masaryk University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Maynooth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Rensselaer Polytechnic Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,University of Illinois at Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,University of Warsaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Virginia Tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Mälardalen University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Massachusetts Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Bielefeld University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Harvard University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,University of Duisburg-Essen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,University of Pisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Massachusetts Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Stony Brook University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Stony Brook University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,University of Salerno,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Heidelberg University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Politecnico di Milano,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,LMU Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Universidad de Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,JKU Linz,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,University of Edinburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,DTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Masaryk University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Masaryk University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Masaryk University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,University of Toronto,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Koç University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Koç University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,University of Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Univ. of California - San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Durham University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,University of British Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,University of North Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,University of Copenhagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,University of Copenhagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Queen's University Belfast,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Queen's University Belfast,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,University of Technology Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Queen's University Belfast,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Lancaster University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,University at Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
