University,Publications
University of Hawaii at Manoa,14
University of Kansas,14
University of Manchester,14
Florida Atlantic University,14
University of Massachusetts Boston,13
Özyeğin University,13
University of Essex,13
University of Ottawa,13
University of Auckland,13
Colorado State University,13
University of Konstanz,13
University of Arkansas,13
AUEB,12
University of Kentucky,12
University of Hamburg,12
University of Tennessee,12
Kent State University,12
Université Jean Monnet,12
Brigham Young University,12
Illinois Institute of Technology,12
University of New Hampshire,12
Sharif University of Technology,12
Freie Universitaet Berlin,12
ISI Kolkata,11
CUNY,11
UFRGS,11
University of Cologne,11
Polytechnique Montreal,11
IIT Roorkee,11
Keio University,11
Brandeis University,11
Ariel University,11
University of Bern,10
Georgetown University,10
McMaster University,10
University of Houston,10
IUPUI,10
TU Clausthal,10
Brunel University London,10
University of Leipzig,10
Queensland University of Technology,10
University of Victoria,10
UCCS,10
University of Missouri,10
University of Bremen,10
University of Salzburg,10
Universidad de Chile,10
University of Louisville,10
Université du Québec à Montréal,9
Dalhousie University,9
Hanyang University,9
USP-ICMC,9
Birkbeck University of London,9
Masaryk University,9
University of Oldenburg,9
Middle East Technical University,9
Cleveland State University,9
University of Malaya,8
University of Oklahoma,8
VISTEC,8
MUST,8
Oklahoma State University,8
UFPE,8
UNICAMP,8
Oakland University,8
Texas Tech University,8
University of Padova,8
Boston College,8
Kansas State University,8
University of Louisiana - Lafayette,7
University of Antwerp,7
Ecole Normale Superieure de Rennes,7
Boğaziçi University,7
University of Nottingham,7
IIT Gandhinagar,7
Kempelen Institute - KInIT,7
Chalmers/GU,7
Koç University,7
University of Mannheim,7
NAIST,7
Yangzhou University,7
University of Mainz,7
University of Magdeburg,7
Georgia State University,7
IIT Patna,7
University of Memphis,6
Bielefeld University,6
University of Erlangen–Nuremberg,6
Universidad de los Andes,6
Trinity College Dublin,6
University of Manitoba,6
University of Lübeck,6
Istanbul Technical University,6
DePaul University,6
UFPR,6
University of Massachusetts Lowell,6
Western University,6
Carleton University,6
Nova Southeastern University,6
University of Crete,6
University of Nebraska - Omaha,6
University of Kassel,6
University of Ulm,6
University of New Mexico,6
Toronto Metropolitan University,6
Kyungpook National University,6
University of Glasgow,6
University of Tartu,5
City University of London,5
Tata Inst. of Fundamental Research,5
University of Siegen,5
New Mexico State University,5
University of Düsseldorf,5
George Washington University,5
CWI,5
Victoria University of Wellington,5
UFMG,5
Queen’s University,5
Maynooth University,5
University of Windsor,5
PTIT,5
University of Koblenz-Landau,5
New York Tech,5
University of Wroclaw,4
IIIT Bangalore,4
University of Bergen,4
Ohio University,4
University of A Coruña,4
Qatar Computing Research Institute,4
The Catholic University of Korea,4
Old Dominion University,4
IIT Ropar,4
GSSI,4
KIIT Bhubaneswar,4
University at Albany - SUNY,4
UFU,4
IIT Jammu,4
Polytechnic University of Catalonia,4
Naval Postgraduate School,4
TU Ilmenau,4
Ontario Tech University,4
UNC - Greensboro,4
Humboldt University of Berlin,4
University of Regina,4
Bilkent University,4
University of Klagenfurt,4
Saint Louis University,4
Maastricht University,4
Louisiana State University,4
University of Missouri - Kansas City,4
Texas State University,4
University of Innsbruck,3
Florida Institute of Technology,3
Qatar University,3
IIT Guwahati,3
University of Tulsa,3
University of Sussex,3
IMDEA Software Institute,3
BUET,3
IPM,3
University of Cape Town,3
IPI PAN,3
Northwest University,3
TeIAS,3
University of Münster,3
CMI,3
Charles University,3
Paderborn University,3
Universidad Rey Juan Carlos,3
University of Molise,3
University of Szeged,3
University of Otago,3
Open University UK,3
Università della Svizzera italiana,3
SIU Carbondale,3
BITS Pilani-Goa,3
USP,3
Colorado School of Mines,3
University of Luxembourg,3
University of Kent,3
University of Miami,3
Heriot-Watt University,3
University of Texas - El Paso,3
Hacettepe University,3
University of Wuppertal,3
University of Nevada,3
Université libre de Bruxelles,3
BITS Pilani,3
University of St Andrews,3
NTNU,3
Western Sydney University,2
American University of Beirut,2
Virginia Commonwealth University,2
Ecole Normale Superieure de Cachan,2
University of New Brunswick,2
University of Bamberg,2
University of New Orleans,2
Cyprus University of Technology,2
University of Massachusetts Dartmouth,2
UFRJ,2
IMSc,2
University of Bayreuth,2
TU Braunschweig,2
University of Groningen,2
University of Regensburg,2
University of Kiel,2
University of Hildesheim,2
University of Calgary,2
Bauhaus University Weimar,2
National Cheng Kung University,2
University of Southern Mississippi,2
University of Strathclyde,2
University of Delhi,2
Aberystwyth University,2
Brno University of Technology,2
University of Sannio,2
University of Saskatchewan,2
Sabancı University,2
University of Wyoming,2
American University in Cairo,2
Middlesex University,2
Goldsmiths University of London,2
IIT Indore,2
Missouri S&T,1
Mälardalen University,1
University of Dundee,1
University of Trier,1
Michigan Technological University,1
Bundeswehr University Munich,1
Massey University,1
Plaksha University,1
Scuola Superiore Sant'Anna,1
University of Potsdam,1
University of Murcia,1
UFF,1
Towson University,1
University of Marburg,1
Universidade de Brasília,1
OHSU,1
Brandenburg University of Technology,1
Northern Arizona University,1
IIT (BHU) Varanasi,1
IIT Tirupati,1
Mississippi State University,1
Izmir Institute of Technology,1
Hamburg University of Technology,1
University of Michigan-Dearborn,1
University of Osnabrück,1
TOBB ETÜ,1
Wichita State University,1
Université de Sherbrooke,1
De La Salle University,1
Lund University,1
Federal University of Rio Grande,1
Universidade Federal de Viçosa,1
Tilburg University,1
The University of Alabama,1
PUC-RS,1
University of Wisconsin - Milwaukee,1
Malmö University,1
IIT Mandi,1
Boise State University,1
University of Ioannina,1
IIT Goa,1
Ecole Normale Superieure de Lyon,1
University of Salerno,1
University of Vermont,1
