Title,Authors,Venue,Year,URL
Sharp Statistical Guaratees for Adversarially Robust Gaussian Classification.,"Chen Dan 0001, Yuting Wei 0001, Pradeep Ravikumar",ICML,2020,http://proceedings.mlr.press/v119/dan20b.html
Adversarial Nonnegative Matrix Factorization.,"Lei Luo 0001, Yanfu Zhang, Heng Huang",ICML,2020,http://proceedings.mlr.press/v119/luo20c.html
Near-optimal Regret Bounds for Stochastic Shortest Path.,"Aviv Rosenberg 0002, Alon Cohen, Yishay Mansour, Haim Kaplan",ICML,2020,http://proceedings.mlr.press/v119/rosenberg20a.html
High-dimensional Robust Mean Estimation via Gradient Descent.,"Yu Cheng 0002, Ilias Diakonikolas, Rong Ge 0001, Mahdi Soltanolkotabi",ICML,2020,http://proceedings.mlr.press/v119/cheng20a.html
Efficient Continuous Pareto Exploration in Multi-Task Learning.,"Pingchuan Ma 0002, Tao Du 0001, Wojciech Matusik",ICML,2020,http://proceedings.mlr.press/v119/ma20a.html
Second-Order Provable Defenses against Adversarial Attacks.,"Sahil Singla 0002, Soheil Feizi",ICML,2020,http://proceedings.mlr.press/v119/singla20a.html
A Finite-Time Analysis of Q-Learning with Neural Network Function Approximation.,"Pan Xu 0002, Quanquan Gu",ICML,2020,http://proceedings.mlr.press/v119/xu20c.html
Optimal Bounds between f-Divergences and Integral Probability Metrics.,"Rohit Agrawal 0002, Thibaut Horel",ICML,2020,http://proceedings.mlr.press/v119/agrawal20a.html
On Learning Language-Invariant Representations for Universal Machine Translation.,"Han Zhao 0002, Junjie Hu 0001, Andrej Risteski",ICML,2020,http://proceedings.mlr.press/v119/zhao20b.html
Structural Language Models of Code.,"Uri Alon 0002, Roy Sadaka, Omer Levy, Eran Yahav",ICML,2020,http://proceedings.mlr.press/v119/alon20a.html
Temporal Logic Point Processes.,"Shuang Li 0002, Lu Wang 0008, Ruizhi Zhang, Xiaofu Chang, Xuqin Liu, Yao Xie 0002, Yuan Qi 0001, Le Song",ICML,2020,http://proceedings.mlr.press/v119/li20p.html
RIFLE: Backpropagation in Depth for Deep Transfer Learning through Re-Initializing the Fully-connected LayEr.,"Xingjian Li 0002, Haoyi Xiong, Haozhe An, Cheng-Zhong Xu 0001, Dejing Dou",ICML,2020,http://proceedings.mlr.press/v119/li20r.html
SIGUA: Forgetting May Make Learning with Noisy Labels More Robust.,"Bo Han 0003, Gang Niu 0001, Xingrui Yu, Quanming Yao, Miao Xu, Ivor W. Tsang, Masashi Sugiyama",ICML,2020,http://proceedings.mlr.press/v119/han20c.html
Decentralized Reinforcement Learning: Global Decision-Making via Local Economic Transactions.,"Michael Chang 0003, Sidhant Kaushik, S. Matthew Weinberg, Tom Griffiths 0001, Sergey Levine",ICML,2020,http://proceedings.mlr.press/v119/chang20b.html
Converging to Team-Maxmin Equilibria in Zero-Sum Multiplayer Games.,"Youzhi Zhang 0001, Bo An 0001",ICML,2020,http://proceedings.mlr.press/v119/zhang20c.html
Understanding and Stabilizing GANs&apos; Training Dynamics Using Control Theory.,"Kun Xu 0004, Chongxuan Li, Jun Zhu 0001, Bo Zhang 0010",ICML,2020,http://proceedings.mlr.press/v119/xu20d.html
The Intrinsic Robustness of Stochastic Bandits to Strategic Manipulation.,"Zhe Feng 0004, David C. Parkes, Haifeng Xu",ICML,2020,http://proceedings.mlr.press/v119/feng20c.html
Stochastic Optimization for Non-convex Inf-Projection Problems.,"Yan Yan 0006, Yi Xu 0008, Lijun Zhang 0005, Xiaoyu Wang 0002, Tianbao Yang",ICML,2020,http://proceedings.mlr.press/v119/yan20a.html
Information Particle Filter Tree: An Online Algorithm for POMDPs with Belief-Based Rewards on Continuous Domains.,"Johannes Fischer 0007, Ömer Sahin Tas",ICML,2020,http://proceedings.mlr.press/v119/fischer20a.html
Understanding the Curse of Horizon in Off-Policy Evaluation via Conditional Importance Sampling.,"Yao Liu 0009, Pierre-Luc Bacon, Emma Brunskill",ICML,2020,http://proceedings.mlr.press/v119/liu20a.html
