Author,University
Siyu Huang,Clemson University
Dejing Dou,University of Oregon
Jiebo Luo,University of Rochester
Andrea Tagliasacchi,Simon Fraser University
Kwang Moo Yi,University of British Columbia
Won-Ki Jeong,Korea University
Bo Yang 0027,The Hong Kong Polytechnic University
Andrew Markham,University of Oxford
Stefan Roth 0001,TU Darmstadt
Chaoning Zhang,Kyung Hee University
In So Kweon,KAIST
Mubarak Shah,University of Central Florida
Laura Leal-Taixé,TU Munich
Pradeep Sen,Univ. of California - Santa Barbara
Seung-Hwan Baek,POSTECH
Felix Heide,Princeton University
Kiyoharu Aizawa,University of Tokyo
Tomer Michaeli,Technion
Stefanos Zafeiriou,Imperial College London
Xiaoming Liu 0002,Michigan State University
Kai Zhang 0001,Temple University
Haibin Ling,Stony Brook University
Jun Liu 0036,Lancaster University
Ling-Yu Duan,Peking University
Chiew-Lan Tai,HKUST
Xianming Liu,Harbin Institute of Technology
Wangmeng Zuo,Harbin Institute of Technology
Di Hu 0001,Renmin University of China
Zhedong Zheng,University of Macau
Hongxia Yang,The Hong Kong Polytechnic University
Yi Yang 0001,Zhejiang University
Justin Johnson 0001,University of Michigan
Jonghyun Choi,Yonsei University
Jiri Matas,Czech Technical University
Jochen Triesch,Goethe University Frankfurt
Thomas Brox,University of Freiburg
Lior Wolf,Tel Aviv University
Radu Marculescu,Carnegie Mellon University
Peter Wonka,KAUST
Luc Van Gool,ETH Zurich
Radu Timofte,University of Würzburg
Mario Fritz,CISPA Helmholtz Center
Aysegul Dundar,Bilkent University
Yongxin Yang,Queen Mary University of London
Tao Xiang 0002,University of Surrey
Yi-Zhe Song,University of Surrey
Yongxin Yang,Queen Mary University of London
Timothy M. Hospedales,University of Edinburgh
Tao Xiang 0002,University of Surrey
Yi-Zhe Song,University of Surrey
Yi-Zhe Song,University of Surrey
Tolga Birdal,Imperial College London
Leonidas J. Guibas,Stanford University
John P. Collomosse,University of Surrey
Björn Ommer,LMU Munich
Björn Ommer,LMU Munich
Rama Chellappa,Johns Hopkins University
Abhinav Shrivastava,University of Maryland - College Park
Mario Fritz,CISPA Helmholtz Center
Denis Zorin,New York University
Angela Dai,TU Munich
Klaus D. Tönnies,University of Magdeburg
Ismail Ben Ayed,ETS Montreal
Jose Dolz,ETS Montreal
